ESTADO;ANO;;MES;VALOR TOTAL;QTDE;TICKET MEDIO
BA;2017;2;3636,34;25;145,4536
RO;2018;3;29,9;1;29,9
PE;2017;1;1999;1;1999
ES;2017;2;1817,9;13;139,838461538462
RS;2017;4;8160,41;80;102,005125
BA;2017;8;35499,83;41;865,849512195122
MG;2017;11;77508,56;682;113,648914956012
PI;2018;7;71;1;71
MS;2017;11;289,9;3;96,6333333333333
SP;2017;6;309462,299999998;2570;120,413346303501
SC;2017;4;24365,63;156;156,189935897436
RN;2018;1;497,9;13;38,3
RN;2018;7;34;1;34
GO;2017;11;1498,74;21;71,3685714285714
GO;2017;5;8146,06;19;428,74
PB;2017;2;355;1;355
PE;2018;8;10196,89;26;392,188076923077
SC;2017;10;24231,5;156;155,330128205128
PR;2018;5;75867,2500000001;486;156,105452674897
ES;2017;8;1604;13;123,384615384615
PE;2018;2;12388;76;163
MS;2018;1;714,7;5;142,94
PE;2017;7;304,48;5;60,896
DF;2017;3;2563;21;122,047619047619
SP;2018;1;619021,810000014;5922;104,529181019928
RJ;2017;9;27104,16;166;163,278072289157
MA;2018;2;888,88;12;74,0733333333333
SC;2018;5;44467,8000000001;223;199,407174887893
GO;2018;6;4542,02;31;146,516774193548
PB;2018;3;2226,5;3;742,166666666667
RS;2017;10;19600,66;113;173,457168141593
DF;2017;9;8014,83;55;145,724181818182
PR;2017;4;36182,4000000001;204;177,364705882353
CE;2017;8;851,22;5;170,244
RO;2017;5;2399,98;2;1199,99
MG;2018;1;68729,3300000001;591;116,293282571912
ES;2018;1;3168,5;21;150,880952380952
MT;2018;8;679;4;169,75
CE;2017;2;3149,74;13;242,287692307692
RO;2017;8;749,98;2;374,99
AM;2017;3;228;2;114
PR;2017;1;23561,05;156;151,032371794872
BA;2017;5;2231,28;8;278,91
MT;2018;2;1096,44;12;91,37
MT;2017;12;1274;12;106,166666666667
CE;2018;3;548,7;4;137,175
RS;2017;7;18457,1;96;192,261458333333
PA;2017;9;448;2;224
PB;2018;6;224,5;5;44,9
MS;2018;7;783,8;3;261,266666666667
RJ;2018;2;45362,5200000001;307;147,760651465798
RJ;2017;12;55327,6500000001;319;173,440909090909
ES;2016;10;78,89;2;39,445
PA;2018;1;219;1;219
RN;2018;4;32,9;1;32,9
SP;2017;9;390702,830000002;3453;113,148806834637
SC;2017;1;5790,88;62;93,4012903225806
ES;2017;5;2774,99;27;102,777407407407
MG;2017;8;48337,8500000002;455;106,237032967033
GO;2017;2;14,9;1;14,9
PR;2018;2;123436,589999999;984;125,443689024389
BA;2018;6;8537,29;14;609,806428571429
DF;2018;2;6780,84;61;111,16131147541
ES;2017;11;4005,39;34;117,805588235294
PE;2018;5;12524,5;79;158,537974683544
GO;2017;8;3103,52;26;119,366153846154
PB;2017;5;278;2;139
GO;2018;1;5470,52;37;147,851891891892
ES;2017;9;1714;16;107,125
PE;2018;3;9474,90999999999;63;150,395396825397
RJ;2017;4;25877,1800000001;109;237,405321100918
PR;2018;6;83216,8399999999;502;165,770597609562
PE;2017;10;222,98;1;222,98
DF;2017;4;2653,63;24;110,567916666667
SP;2017;1;60468,6900000002;529;114,307542533082
MG;2017;3;41604,2100000001;373;111,539436997319
PI;2018;2;915;5;183
RS;2017;11;33411,69;152;219,81375
GO;2018;7;4527,34;37;122,360540540541
SC;2018;6;29093,9800000001;271;107,357859778598
RN;2017;9;333,9;2;166,95
DF;2017;10;8743,34999999999;74;118,153378378378
RO;2017;4;279,99;1;279,99
CE;2017;3;1691,12;10;169,112
ES;2018;4;1962,19;17;115,422941176471
SP;2018;2;527513,750000009;5324;99,0822220135254
PR;2017;2;29676,86;149;199,17355704698
MT;2018;3;1395,4;13;107,338461538462
BA;2016;10;161,55;1;161,55
RS;2017;8;16680,51;96;173,7553125
RS;2017;2;5127,86;39;131,48358974359
RJ;2018;5;71027,4400000001;401;177,12578553616
BA;2018;1;9604,75;22;436,579545454545
BA;2017;6;3846,06;14;274,718571428571
MT;2017;7;143,9;2;71,95
PB;2018;7;953;3;317,666666666667
CE;2018;4;1726,9;5;345,38
GO;2017;3;974,8;13;74,9846153846154
SC;2017;2;11553,31;83;139,196506024096
RS;2018;3;24687,38;118;209,215084745763
PI;2018;5;71;1;71
MG;2017;9;48969,8100000002;433;113,094249422633
PR;2016;12;10,9;1;10,9
ES;2017;6;2302,49;23;100,108260869565
PR;2018;3;86825,9899999998;679;127,873328424153
BA;2018;7;13751,5;51;269,637254901961
MS;2017;3;1003,78;5;200,756
SP;2017;12;475972,400000003;4546;104,70136383634
PE;2018;6;11837,2;41;288,712195121951
DF;2018;5;4699,08;47;99,9804255319149
DF;2017;1;3831,58;12;319,298333333333
SP;2017;4;221548,129999996;1774;124,886206313414
MG;2017;6;30337,5100000002;356;85,2177247191016
GO;2018;4;3151,13;34;92,6802941176471
SE;2017;1;119,9;1;119,9
DF;2017;7;4315,34;33;130,767878787879
RN;2017;12;2350,8;11;213,709090909091
RJ;2017;7;13843,73;108;128,182685185185
ES;2018;7;2009,27;14;143,519285714286
SP;2018;5;672966,980000014;5897;114,120227234189
MG;2018;7;60665,1800000002;471;128,800806794056
SC;2018;3;44929,4200000001;261;172,14337164751
RJ;2017;1;9428,59999999999;61;154,567213114754
PR;2017;10;47685,3400000002;343;139,024314868805
RO;2017;7;358,09;2;179,045
RS;2017;5;9639,64999999999;85;113,407647058823
MA;2018;8;6386,31999999999;68;93,9164705882351
CE;2018;7;3513,49;11;319,408181818182
BA;2017;3;1733,95;9;192,661111111111
MT;2017;10;3701,95;26;142,382692307692
SP;2018;8;537999,270000011;5130;104,873152046786
RJ;2018;8;68157,0200000001;391;174,314629156011
PE;2017;2;415,46;4;103,865
CE;2017;11;139;1;139
RJ;2017;10;31309,0100000001;194;161,386649484536
